,Year,Winner,Country,Time,Distance (Miles),Distance (KM)
94,1991.0,Ibrahim Hussein,Kenya,02:11:06,26.2,42.2
95,1992.0,Ibrahim Hussein,Kenya,02:08:14,26.2,42.2
96,1993.0,Cosmas Ndeti,Kenya,02:09:33,26.2,42.2
97,1994.0,Cosmas Ndeti,Kenya,02:07:15,26.2,42.2
98,1995.0,Cosmas Ndeti,Kenya,02:09:22,26.2,42.2
99,1996.0,Moses Tanui,Kenya,02:09:15,26.2,42.2
100,1997.0,Lameck Aguta,Kenya,02:10:34,26.2,42.2
101,1998.0,Moses Tanui,Kenya,02:07:34,26.2,42.2
102,1999.0,Joseph Chebet,Kenya,02:09:52,26.2,42.2
103,2000.0,Elijah Lagat,Kenya,02:09:47,26.2,42.2
104,2001.0,Lee Bong-ju,South Korea,02:09:43,26.2,42.2
105,2002.0,Rodgers Rop,Kenya,02:09:02,26.2,42.2
106,2003.0,Robert Kipkoech Cheruiyot,Kenya,02:10:11,26.2,42.2
107,2004.0,Timothy Cherigat,Kenya,02:10:37,26.2,42.2
108,2005.0,Hailu Negussie,Ethiopia,02:11:44,26.2,42.2
109,2006.0,Robert Kipkoech Cheruiyot,Kenya,02:07:14,26.2,42.2
110,2007.0,Robert Kipkoech Cheruiyot,Kenya,02:14:13,26.2,42.2
111,2008.0,Robert Kipkoech Cheruiyot,Kenya,02:07:45,26.2,42.2
112,2009.0,Deriba Merga,Ethiopia,02:08:42,26.2,42.2
113,2010.0,Robert Kiprono Cheruiyot,Kenya,02:05:52,26.2,42.2
114,2011.0,Geoffrey Mutai,Kenya,02:03:02,26.2,42.2
115,2012.0,Wesley Korir,Kenya,02:12:40,26.2,42.2
116,2013.0,Lelisa Desisa,Ethiopia,02:10:22,26.2,42.2
117,2014.0,Meb Keflezighi,United States,02:08:37,26.2,42.2
118,2015.0,Lelisa Desisa,Ethiopia,02:09:17,26.2,42.2
119,2016.0,Lemi Berhanu Hayle,Ethiopia,02:12:45,26.2,42.2
120,2017.0,Geoffrey Kirui,Kenya,02:09:37,26.2,42.2
121,2018.0,Yuki Kawauchi,Japan,02:15:58,26.2,42.2
122,2019.0,Lawrence Cherono,Kenya,02:07:57,26.2,42.2
123,,,,,,
124,2021.0,Benson Kipruto,Kenya,02:09:51,26.2,42.2
125,2022.0,Evans Chebet,Kenya,02:06:51,26.2,42.2
