Rank,meeting_name,country,Start Date,End Date,Participation Score,Result Score,Competition Score,Event URL
48,"International Marathon de Marrakech, Marrakesh",MAR,29 JAN 2023,29 JAN 2023,0,9258,9258,https://www.worldathletics.orgNot found
49,"Shenzhen Marathon, Shenzhen",CHN,03 DEC 2023,03 DEC 2023,25,9232,9257,https://www.worldathletics.orgNot found
50,"Irish Life Dublin Marathon, Dublin",IRL,29 OCT 2023,29 OCT 2023,0,9247,9247,https://www.worldathletics.orgNot found
51,"Taiyuan Marathon, Taiyuan",CHN,21 MAY 2023,21 MAY 2023,0,9240,9240,https://www.worldathletics.orgNot found
52,"Standard Chartered Nairobi Marathon, Nairobi",KEN,29 OCT 2023,29 OCT 2023,0,9238,9238,https://www.worldathletics.orgNot found
53,"Sanlam Cape Town Marathon, Cape Town",RSA,15 OCT 2023,15 OCT 2023,10,9216,9226,https://www.worldathletics.orgNot found
54,"Chengdu Marathon, Chengdu",CHN,29 OCT 2023,29 OCT 2023,5,9194,9199,https://www.worldathletics.orgNot found
55,"Zürich Marathon, Zürich",SUI,23 APR 2023,23 APR 2023,10,9179,9189,https://www.worldathletics.orgNot found
56,"Changsha Marathon, Changsha",CHN,29 OCT 2023,29 OCT 2023,35,9146,9181,https://www.worldathletics.orgNot found
57,"The 33rd Dalian Marathon, Dalian",CHN,15 OCT 2023,15 OCT 2023,10,9169,9179,https://www.worldathletics.orgNot found
58,"Buriram Marathon Presented by Chang, Buri Ram",THA,21 JAN 2023,21 JAN 2023,5,9170,9175,https://www.worldathletics.orgNot found
59,"Poznan Marathon, Poznan",POL,22 OCT 2023,22 OCT 2023,0,9162,9162,https://www.worldathletics.orgNot found
60,"Oberbank Linz Donau Marathon, Linz",AUT,16 APR 2023,16 APR 2023,0,9143,9143,https://www.worldathletics.orgNot found
61,"Lanzhou Marathon, Lanzhou",CHN,11 JUN 2023,11 JUN 2023,20,9115,9135,https://www.worldathletics.orgNot found
62,"Nanchang Marathon, Nanchang",CHN,12 NOV 2023,12 NOV 2023,0,9125,9125,https://www.worldathletics.orgNot found
63,"Hofu Yomiuri Marathon, Hofu",JPN,03 DEC 2023,03 DEC 2023,0,9113,9113,https://www.worldathletics.orgNot found
64,"Beppu-Oita Mainichi Marathon, Beppu",JPN,05 FEB 2023,05 FEB 2023,5,9099,9104,https://www.worldathletics.orgNot found
65,"Maratón BP Castellón, Castellón",ESP,26 FEB 2023,26 FEB 2023,0,9090,9090,https://www.worldathletics.orgNot found
66,"Harbin Marathon, Harbin",CHN,27 AUG 2023,27 AUG 2023,0,9089,9089,https://www.worldathletics.orgNot found
67,"XL Maratón de la Ciudad de México Telcel 2023, Ciudad de México",MEX,27 AUG 2023,27 AUG 2023,20,9068,9088,https://www.worldathletics.orgNot found
68,"Zurich Rock 'n' Roll Running Series Madrid Maraton, Madrid",ESP,23 APR 2023,23 APR 2023,0,9062,9062,https://www.worldathletics.orgNot found
69,"Taipei Marathon, Taipei City",TPE,17 DEC 2023,17 DEC 2023,0,9052,9052,https://www.worldathletics.orgNot found
70,"Changan Automo Chongqing Marathon, Chongqing",CHN,19 MAR 2023,19 MAR 2023,0,9030,9030,https://www.worldathletics.orgNot found
71,"JTBC Seoul Marathon, Seoul",KOR,05 NOV 2023,05 NOV 2023,10,9019,9029,https://www.worldathletics.orgNot found
72,"Fuzhou Marathon, Fuzhou",CHN,17 DEC 2023,17 DEC 2023,0,9015,9015,https://www.worldathletics.orgNot found
73,"Istanbul Marathon, Istanbul",TUR,05 NOV 2023,05 NOV 2023,0,9003,9003,https://www.worldathletics.orgNot found
74,"McKirdy Micro - On the Cusp - Marathon, Valley Cottage, NY",USA,14 OCT 2023,14 OCT 2023,0,8998,8998,https://www.worldathletics.orgNot found
75,"New Taipei City Wan Jin Shi Marathon, New Taipei City",TPE,19 MAR 2023,19 MAR 2023,25,8947,8972,https://www.worldathletics.orgNot found
75,"Sleemon Shaoxing Marathon, Shaoxing",CHN,26 NOV 2023,26 NOV 2023,0,8972,8972,https://www.worldathletics.orgNot found
77,"21. Volksbank-Münster-Marathon, Münster",GER,03 SEP 2023,03 SEP 2023,0,8961,8961,https://www.worldathletics.orgNot found
78,"39^ Firenze Marathon, Firenze",ITA,26 NOV 2023,26 NOV 2023,0,8958,8958,https://www.worldathletics.orgNot found
79,"Jilin City International Marathon, Jilin",CHN,11 JUN 2023,11 JUN 2023,0,8957,8957,https://www.worldathletics.orgNot found
79,"Maratón de Málaga, Málaga",ESP,10 DEC 2023,10 DEC 2023,0,8957,8957,https://www.worldathletics.orgNot found
81,"Suzhou Taihu Marathon, Suzhou",CHN,22 OCT 2023,22 OCT 2023,0,8934,8934,https://www.worldathletics.orgNot found
82,"Generali Geneve Marathon, Genève",SUI,07 MAY 2023,07 MAY 2023,0,8917,8917,https://www.worldathletics.orgNot found
83,"adidas Stockholm Marathon, Stockholm",SWE,03 JUN 2023,03 JUN 2023,10,8899,8909,https://www.worldathletics.orgNot found
84,"Izmir Marathon, Izmir",TUR,07 MAY 2023,07 MAY 2023,0,8902,8902,https://www.worldathletics.orgNot found
85,"Guangzhou Marathon, Guangzhou",CHN,10 DEC 2023,10 DEC 2023,0,8887,8887,https://www.worldathletics.orgNot found
86,"Standard Chartered Hong Kong Marathon, Hong Kong",HKG,12 FEB 2023,12 FEB 2023,20,8857,8877,https://www.worldathletics.orgNot found
86,"Durban International Marathon, Durban",RSA,12 MAR 2023,12 MAR 2023,0,8877,8877,https://www.worldathletics.orgNot found
88,"Marathon de la Rochelle, La Rochelle",FRA,26 NOV 2023,26 NOV 2023,0,8859,8859,https://www.worldathletics.orgNot found
89,"Wuhan Marathon, Wuhan",CHN,16 APR 2023,16 APR 2023,0,8840,8840,https://www.worldathletics.orgNot found
90,"Hangzhou Marathon, Hangzhou",CHN,17 DEC 2023,17 DEC 2023,0,8801,8801,https://www.worldathletics.orgNot found
91,"Kobe Marathon, Kobe",JPN,19 NOV 2023,19 NOV 2023,0,8775,8775,https://www.worldathletics.orgNot found
92,"Xuzhou Marathon, Xuzhou",CHN,05 NOV 2023,05 NOV 2023,0,8770,8770,https://www.worldathletics.orgNot found
93,"Marathon COMAR de Tunis Carthage, Tunis",TUN,03 DEC 2023,03 DEC 2023,0,8761,8761,https://www.worldathletics.orgNot found
94,"California International Marathon, Sacramento, CA",USA,03 DEC 2023,03 DEC 2023,0,8755,8755,https://www.worldathletics.orgNot found
95,"Athens Marathon - The Authentic, Athina",GRE,12 NOV 2023,12 NOV 2023,0,8750,8750,https://www.worldathletics.orgNot found
96,"Cereales Angel Marathon Lima42K, Lima",PER,21 MAY 2023,21 MAY 2023,0,8747,8747,https://www.worldathletics.orgNot found
97,"25th Nagano Marathon, Nagano",JPN,23 APR 2023,23 APR 2023,10,8734,8744,https://www.worldathletics.orgNot found
98,"Torino City Marathon, Torino",ITA,05 NOV 2023,05 NOV 2023,0,8740,8740,https://www.worldathletics.orgNot found
99,"Kuala Lumpur Standard Chartered Marathon, Kuala Lumpur",MAS,01 OCT 2023,01 OCT 2023,0,8733,8733,https://www.worldathletics.orgNot found
100,"Gyeongju International Marathon, Gyeongju",KOR,22 OCT 2023,22 OCT 2023,0,8709,8709,https://www.worldathletics.orgNot found
101,"Tallinn Marathon, Tallinn",EST,10 SEP 2023,10 SEP 2023,0,8708,8708,https://www.worldathletics.orgNot found
102,"White Nights Marathon, St. Petersburg",RUS,11 JUN 2023,11 JUN 2023,0,8707,8707,https://www.worldathletics.orgNot found
103,"Moscow Marathon, Moskva",RUS,17 SEP 2023,17 SEP 2023,0,8693,8693,https://www.worldathletics.orgNot found
104,"Shenyang Marathon, Shenyang",CHN,24 SEP 2023,24 SEP 2023,0,8682,8682,https://www.worldathletics.orgNot found
105,"Maratón Internacional Guadalajara, Guadalajara",MEX,05 NOV 2023,05 NOV 2023,0,8678,8678,https://www.worldathletics.orgNot found
106,"SCO Kunming Marathon, Kunming",CHN,31 DEC 2023,31 DEC 2023,0,8664,8664,https://www.worldathletics.orgNot found
107,"Qingdao Marathon, Qingdao",CHN,22 APR 2023,22 APR 2023,0,8653,8653,https://www.worldathletics.orgNot found
108,"Maratón Powerade Monterrey, Monterrey",MEX,10 DEC 2023,10 DEC 2023,5,8610,8615,https://www.worldathletics.orgNot found
109,"Belgrade Marathon, Beograd",SRB,23 APR 2023,23 APR 2023,0,8586,8586,https://www.worldathletics.orgNot found
110,"Maybank Marathon, Bali",INA,27 AUG 2023,27 AUG 2023,0,8576,8576,https://www.worldathletics.orgNot found
111,"EDP Maratona do Porto, Porto",POR,05 NOV 2023,05 NOV 2023,0,8548,8548,https://www.worldathletics.orgNot found
112,"Shenzhen Baoan International Marathon, Shenzhen",CHN,31 DEC 2023,31 DEC 2023,0,8539,8539,https://www.worldathletics.orgNot found
113,"Cool City Liupanshui Summer Marathon, Liupanshui",CHN,16 JUL 2023,16 JUL 2023,0,8538,8538,https://www.worldathletics.orgNot found
114,"Padova Marathon, Padova",ITA,23 APR 2023,23 APR 2023,0,8537,8537,https://www.worldathletics.orgNot found
115,"57 Maraton Baja California, Mexicali",MEX,10 DEC 2023,10 DEC 2023,0,8534,8534,https://www.worldathletics.orgNot found
116,"Standard Chartered Singapore Marathon, Singapore",SGP,03 DEC 2023,03 DEC 2023,20,8510,8530,https://www.worldathletics.orgNot found
117,"Bangsaen42 Chonburi Marathon, Chon Buri",THA,05 NOV 2023,05 NOV 2023,0,8516,8516,https://www.worldathletics.orgNot found
118,"Russian Marathon Championships, Pushkin, St. Petersburg",RUS,14 MAY 2023,14 MAY 2023,0,8509,8509,https://www.worldathletics.orgNot found
119,"Italian Marathon Championships, Verona",ITA,19 NOV 2023,19 NOV 2023,0,8497,8497,https://www.worldathletics.orgNot found
120,"Yichang Marathon, Yichang",CHN,30 APR 2023,30 APR 2023,0,8451,8451,https://www.worldathletics.orgNot found
