year,full_name,gender,age,finish_time,finish_time_seconds,previous_time,progression_percentage,vitesse_finish_time,formatted_date_marathon,noc,pos,marathon_city_loc,rank_actual,score_total,half_marathon,QP,time_qualif,time_qualif_seconds,vitesse_qualif,formatted_date_qualif,Height,Weight,Sponsor,Followers,Year_inauguration,Estimated_Spectators,Denivele_positif,Denivele_negatif,Month_of_Race,Nb_participant_moy,Season
2023,Aleksandra LISOWSKA,F,34,02:25:52,8752.0,8804,-0.01,17.276051188299817,03/12/2023,POL,29,Valencia,93,1240,0.0,61,02:25:52,8752.0,17.276051188299817,03/12/2023,,,,11000.0,2024,330000,436,438,Aout,88,Summer
2024,Lisa WEIGHTMAN,F,45,02:32:32,8806.2222222222244,,-0.0087499999999999991,17.178084879147427,13/04/2008,AUS,13,London,97,1237,0.0,29,02:23:15,8595.0,17.591623036649214,26/02/2023,157.0,44.0,,10900.0,2024,330000,436,438,Aout,88,Summer
2023,Genevieve GREGSON,F,35,02:23:08,8588.0,8913,-0.04,17.6059618071728,03/12/2023,AUS,8,Valencia,98,1236,0.0,28,02:23:08,8588.0,17.6059618071728,03/12/2023,164.0,53.0,,148000.0,2024,330000,436,438,Aout,88,Summer
2023,Sultan HAYDAR,F,37,02:25:09,8598.0,9306,-0.125,17.588416414949396,15/04/2012,TUR,2,Paris,122,1219,1.0,18,02:21:27,8487.0,17.815482502651115,03/12/2023,170.0,55.0,,,2024,330000,436,438,Aout,88,Summer
2023,Citlali CRISTIAN MOSCOTE,F,29,02:26:13,8733.0,,-0.01,17.314001162466717,20/02/2022,MEX,10,Sevilla,124,1219,0.0,52,02:24:53,8693.0,17.393304958012195,19/02/2023,,,,10200.0,2024,330000,436,438,Aout,88,Summer
2020,Matea PARLOV KOŠTRO,F,32,02:38:05,9193.3333333333339,,-0.03,16.456668336341696,16/09/2018,CRO,20,Berlin,128,1217,0.0,60,02:25:45,8745.0,17.289879931389365,26/03/2023,,,,8747.0,2024,330000,436,438,Aout,88,Summer
2022,Rose HARVEY,F,32,02:55:41,9311.25,,-0.01,16.326263494376896,24/04/2016,GBR,63,London,129,1216,0.0,31,02:23:21,8601.0,17.579351238228114,08/10/2023,166.0,,,13900.0,2024,330000,436,438,Aout,88,Summer
2023,Charlotte PURDUE,F,33,02:32:48,8802.4,,-0.015,17.18910135254422,24/04/2016,GBR,16,London,133,1212,1.0,25,02:22:17,8537.0,17.711139744640974,24/09/2023,153.0,47.0,,51300.0,2024,330000,436,438,Aout,88,Summer
2023,Malindi ELMORE,F,44,02:23:30,8610.0,8865,-0.03,17.5609756097561,24/09/2023,CAN,13,Berlin,136,1211,0.0,33,02:23:30,8610.0,17.5609756097561,24/09/2023,168.0,51.0,,7707.0,2024,330000,436,438,Aout,88,Summer
2019,Melat Yisak KEJETA,F,32,02:23:57,8637.0,,,17.506078499478988,29/09/2019,GER,6,Berlin,137,1211,1.0,21,02:21:47,8507.0,17.773598213236159,07/01/2024,165.0,50.0,,,2024,330000,436,438,Aout,88,Summer
2019,Zhixuan LI,F,28,02:54:38,10478.0,9041,0.16,14.43023477762932,29/09/2019,CHN,80,Berlin,142,1208,0.0,70,02:26:28,8788.0,17.205279927173418,12/03/2023,170.0,,,,2024,330000,436,438,Aout,88,Summer
2024,Florencia BORELLI,F,32,02:26:54,8736.0,9147,-0.03,17.309072176328812,20/02/2022,ARG,12,Sevilla,144,1208,0.0,43,02:24:18,8658.0,17.463617463617464,18/02/2024,,,,87000.0,2024,330000,436,438,Aout,88,Summer
2022,Sinead DIVER,F,47,02:24:11,8702.0,8719,-0.0225,17.379906648357803,28/04/2019,AUS,7,London,148,1205,0.0,19,02:21:34,8494.0,17.800800565104783,04/12/2022,,,,20400.0,2024,330000,436,438,Aout,88,Summer
2021,Nienke BRINKMAN,F,31,02:26:34,8794.0,,,17.193541050716398,05/12/2021,NED,13,Valencia,150,1205,1.0,83,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2022,Giovanna EPIS,F,36,02:29:41,8778.3333333333339,9151,-0.03666666666666666,17.229050821166204,25/02/2018,ITA,6,Sevilla,164,1198,0.0,35,02:23:46,8626.0,17.5284025040575,23/04/2023,164.0,46.0,,12500.0,2024,330000,436,438,Aout,88,Summer
2024,Meritxell SOLER,F,32,02:26:37,8747.0,,-0.06,17.286491447525759,19/02/2023,ESP,8,Sevilla,165,1197,0.0,54,02:24:57,8697.0,17.385305277681958,18/02/2024,,,,452.0,2024,330000,436,438,Aout,88,Summer
2024,Méline ROLLIN,F,26,02:30:27,8839.5,,-0.02,17.112739451548268,04/12/2022,FRA,24,Valencia,167,1196,0.0,41,02:24:12,8652.0,17.475728155339805,18/02/2024,,,,12200.0,2024,330000,436,438,Aout,88,Summer
2022,Natasha WODAK,F,43,02:23:12,8592.0,9101,-0.06,17.597765363128492,25/09/2022,CAN,12,Berlin,170,1194,0.0,87,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2023,Domenika MAYER,F,34,02:23:47,8627.0,8927,-0.03,17.526370696650055,24/09/2023,GER,14,Berlin,174,1192,0.0,36,02:23:47,8627.0,17.526370696650055,24/09/2023,,,,3443.0,2024,330000,436,438,Aout,88,Summer
2024,Chloé HERBIET,F,26,02:24:56,8696.0,8874,-0.02,17.387304507819685,18/02/2024,BEL,13,Sevilla,184,1190,0.0,53,02:24:56,8696.0,17.387304507819685,18/02/2024,168.0,52.0,,2642.0,2024,330000,436,438,Aout,88,Summer
2023,Gerda STEYN,F,34,02:37:22,8965.3333333333339,10625,-0.05333333333333333,16.889283297435394,19/11/2017,RSA,12,Valencia,201,1183,0.0,37,02:24:03,8643.0,17.493925720236028,03/12/2023,,56.0,,55500.0,2024,330000,436,438,Aout,88,Summer
2023,Fabienne SCHLUMPF,F,34,02:25:27,8698.5,9017,-0.02,17.382493894975738,24/09/2023,SUI,15,Berlin,206,1182,0.0,44,02:24:30,8670.0,17.439446366782008,03/12/2023,183.0,62.0,,7853.0,2024,330000,436,438,Aout,88,Summer
2024,Esther NAVARRETE,F,34,02:24:40,8680.0,,,17.41935483870968,18/02/2024,ESP,11,Sevilla,209,1180,1.0,48,02:24:40,8680.0,17.41935483870968,18/02/2024,,,,2398.0,2024,330000,436,438,Aout,88,Summer
2024,Carolina WIKSTRÖM,F,31,02:46:04,9052.5,,-0.056666666666666664,16.75618055384831,02/12/2018,SWE,31,Valencia,213,1178,0.0,45,02:24:30,8670.0,17.439446366782008,18/02/2024,,,,5428.0,2024,330000,436,438,Aout,88,Summer
2023,Mekdes WOLDU,F,32,02:24:44,8684.0,8794,-0.01,17.411331183786274,03/12/2023,FRA,17,Valencia,218,1176,0.0,49,02:24:44,8684.0,17.411331183786274,03/12/2023,164.0,,,22200.0,2024,330000,436,438,Aout,88,Summer
2018,Khishigsaikhan GALBADRAKH,F,34,02:41:49,9709.0,9831,-0.01,15.573179524152847,28/01/2018,MGL,21,Osaka,230,1173,0.0,72,02:26:32,8792.0,17.197452229299365,03/03/2024,,,,,2024,330000,436,438,Aout,88,Summer
2023,Hanne VERBRUGGEN,F,31,02:35:00,9010.0,9543,-0.035,16.788258003118717,01/12/2019,BEL,24,Valencia,232,1173,0.0,71,02:26:32,8792.0,17.197452229299365,19/02/2023,,,,2200.0,2024,330000,436,438,Aout,88,Summer
2023,Fionnuala MCCORMACK,F,40,02:23:58,8708.5,9249,-0.045000000000000005,17.363485095842574,05/12/2021,IRL,5,Valencia,233,1173,0.0,68,02:26:19,8779.0,17.22291832782777,03/12/2023,157.0,43.0,,,2024,330000,436,438,Aout,88,Summer
2022,Gladys TEJEDA,F,39,02:34:56,8942.0,8995,-0.018000000000000002,16.917594496835346,20/11/2016,PER,8,Valencia,240,1172,0.0,69,02:26:26,8786.0,17.20919644889597,04/12/2022,155.0,44.0,,80100.0,2024,330000,436,438,Aout,88,Summer
2024,Rahma TAHIRI,F,26,02:24:51,8691.0,9157,-0.05,17.397307559544355,18/02/2024,MAR,12,Sevilla,242,1171,1.0,51,02:24:51,8691.0,17.397307559544355,18/02/2024,,,,,2024,330000,436,438,Aout,88,Summer
2023,Mélody JULIEN,F,25,02:31:39,8900.0,9625,-0.1,16.99726181751339,20/02/2022,FRA,21,Sevilla,243,1171,0.0,55,02:25:01,8701.0,17.377312952534194,03/12/2023,168.0,49.0,,5075.0,2024,330000,436,438,Aout,88,Summer
2023,Bojana BJELJAC,F,35,02:27:42,8795.5,9086,-0.04,17.193694995159703,01/12/2019,CRO,12,Valencia,246,1170,0.0,34,02:23:39,8619.0,17.542638357117998,04/12/2022,166.0,55.0,,2403.0,2024,330000,436,438,Aout,88,Summer
2023,Silvia Patricia ORTIZ MOROCHO,F,32,02:27:36,8773.0,10090,-0.095,17.236240141457802,19/02/2023,ECU,11,Sevilla,247,1170,0.0,50,02:24:50,8690.0,17.399309551208287,03/12/2023,,,,,2024,330000,436,438,Aout,88,Summer
2023,Julia MAYER,F,31,02:26:43,8803.0,9714,-0.09,17.175962739975009,03/12/2023,AUT,37,Valencia,253,1168,0.0,78,02:26:43,8803.0,17.175962739975009,03/12/2023,,,,31000.0,2024,330000,436,438,Aout,88,Summer
2019,Clementine MUKANDANGA,F,39,02:32:45,9165.0,9059,0.01,16.497545008183305,01/12/2019,RWA,6,Osaka,256,1167,0.0,62,02:25:54,8754.0,17.272104180945853,26/11/2023,,,,,2024,330000,436,438,Aout,88,Summer
2023,Moira STEWARTOVÁ,F,29,02:25:36,8736.0,9242,-0.05,17.307692307692307,03/12/2023,CZE,25,Valencia,258,1167,0.0,59,02:25:36,8736.0,17.307692307692307,03/12/2023,,,,4339.0,2024,330000,436,438,Aout,88,Summer
2023,Irvette VAN ZYL,F,37,02:33:41,9013.4,,-0.0225,16.781262667608381,22/04/2012,RSA,17,London,263,1164,0.0,65,02:26:11,8771.0,17.238627294493217,04/12/2022,169.0,54.0,,7717.0,2024,330000,436,438,Aout,88,Summer
2023,Laura HOTTENROTT,F,32,02:33:01,9086.25,9283,-0.0075,16.659438760322406,25/02/2018,GER,8,Sevilla,269,1161,0.0,46,02:24:32,8672.0,17.435424354243544,03/12/2023,170.0,,,49100.0,2024,330000,436,438,Aout,88,Summer
2023,Susana SANTOS,F,32,02:25:35,8735.0,8936,-0.02,17.309673726388095,03/12/2023,POR,24,Valencia,271,1160,0.0,58,02:25:35,8735.0,17.309673726388095,03/12/2023,,,,2075.0,2024,330000,436,438,Aout,88,Summer
2024,Rosa Alva CHACHA CHACHA,F,42,02:35:29,9140.6666666666661,9723,-0.016666666666666666,16.548669522467282,22/02/2015,ECU,4,Sevilla,273,1160,0.0,74,02:26:34,8794.0,17.193541050716398,23/04/2023,155.0,45.0,,,2024,330000,436,438,Aout,88,Summer
2023,Camilla RICHARDSSON,F,31,02:30:45,8861.5,,-0.04,17.069893675205442,05/12/2021,FIN,20,Valencia,280,1158,1.0,47,02:24:38,8678.0,17.423369439963128,03/12/2023,165.0,48.0,,11100.0,2024,330000,436,438,Aout,88,Summer
2023,Angelika MACH,F,33,02:26:19,8779.0,9005,-0.03,17.22291832782777,03/12/2023,POL,33,Valencia,284,1157,0.0,67,02:26:19,8779.0,17.22291832782777,03/12/2023,,,,5074.0,2024,330000,436,438,Aout,88,Summer
2024,Amina BETTICHE,F,37,02:27:29,8849.0,9409,-0.06,17.086676460617017,18/02/2024,ALG,22,Sevilla,288,1157,0.0,85,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2023,Aleksandra BRZEZIŃSKA,F,33,02:28:09,8864.5,9404,-0.060000000000000005,17.056929887923914,04/12/2022,POL,22,Valencia,298,1155,0.0,89,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2024,Cian OLDKNOW,F,28,02:25:08,8708.0,,,17.363344051446944,18/02/2024,RSA,15,Sevilla,301,1154,1.0,56,02:25:08,8708.0,17.363344051446944,18/02/2024,,,,8236.0,2024,330000,436,438,Aout,88,Summer
2023,Alisa VAINIO,F,27,02:30:22,8934.0,10590,-0.08,16.925752323571295,20/02/2022,FIN,18,Sevilla,303,1154,0.0,90,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2024,Solange JESUS,F,37,02:29:04,8896.3333333333339,9201,-0.03,16.99608241916382,03/04/2022,POR,13,Paris,308,1153,0.0,91,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2023,Marie PERRIER,F,29,02:34:35,9027.0,9583,-0.025,16.762402560140302,04/12/2022,MRI,32,Valencia,312,1152,0.0,66,02:26:19,8779.0,17.22291832782777,03/12/2023,,,,6900.0,2024,330000,436,438,Aout,88,Summer
2024,Mary Zenaida GRANJA,F,29,02:29:30,8882.0,9443,-0.035,17.024864170843149,03/12/2023,ECU,45,Valencia,314,1152,0.0,75,02:26:34,8794.0,17.193541050716398,18/02/2024,,,,,2024,330000,436,438,Aout,88,Summer
2023,Camille FRENCH,F,34,02:26:08,8768.0,,,17.244525547445253,03/12/2023,NZL,31,Valencia,321,1150,1.0,64,02:26:08,8768.0,17.244525547445253,03/12/2023,164.0,51.0,,27800.0,2024,330000,436,438,Aout,88,Summer
2024,Isabel OROPEZA VAZQUEZ,F,34,02:27:57,8877.0,9005,-0.01,17.032781345049003,18/02/2024,MEX,24,Sevilla,342,1145,0.0,93,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2024,Tereza HROCHOVÁ,F,28,02:26:38,8798.0,9111,-0.03,17.185724028188226,18/02/2024,CZE,19,Sevilla,347,1144,0.0,77,02:26:38,8798.0,17.185724028188226,18/02/2024,,,,5509.0,2024,330000,436,438,Aout,88,Summer
2024,Luz Mery ROJAS,F,31,02:26:47,8807.0,9380,-0.06,17.168161689565117,18/02/2024,PER,20,Sevilla,355,1142,1.0,79,02:26:47,8807.0,17.168161689565117,18/02/2024,160.0,50.0,,3225.0,2024,330000,436,438,Aout,88,Summer
2023,Angie ORJUELA,F,35,02:29:12,8957.3333333333339,9147,-0.036666666666666667,16.887125455155907,06/12/2020,COL,19,Valencia,367,1139,0.0,57,02:25:35,8735.0,17.309673726388095,24/09/2023,158.0,46.0,,12200.0,2024,330000,436,438,Aout,88,Summer
2023,Margarita HERNANDEZ FLORES,F,39,02:25:54,8754.0,9306,-0.06,17.272104180945853,03/12/2023,MEX,30,Valencia,427,1120,1.0,63,02:25:54,8754.0,17.272104180945853,03/12/2023,,,,,2024,330000,436,438,Aout,88,Summer
