year,full_name,gender,age,finish_time,finish_time_seconds,previous_time,progression_percentage,vitesse_finish_time,formatted_date_marathon,noc,pos,marathon_city_loc,rank_actual,score_total,half_marathon,QP,time_qualif,time_qualif_seconds,vitesse_qualif,formatted_date_qualif,Height,Weight,Sponsor,Followers,Year_inauguration,Estimated_Spectators,Denivele_positif,Denivele_negatif,Month_of_Race,Nb_participant_moy,Season
2023,Goitom KIFLE,M,31,02:05:28,7599.666666666667,8002,-0.063333333333333339,19.897499778080892,05/12/2021,ERI,6,Valencia,102,1237,0.0,29,02:06:09,7569.0,19.976218787158146,04/12/2022,178.0,60.0,,,2024,330000,436,438,Aout,88,Summer
2021,Koen NAERT,M,35,02:10:31,7776.0,8019,-0.025,19.445417259183202,27/09/2015,BEL,7,Berlin,105,1237,0.0,38,02:06:56,7616.0,19.852941176470591,16/04/2023,182.0,66.0,,28100.0,2024,330000,436,438,Aout,88,Summer
2023,Brett ROBINSON,M,33,02:10:55,7822.0,,-0.0049999999999999975,19.330304901440872,28/04/2019,AUS,11,London,114,1231,0.0,49,02:07:31,7651.0,19.762122598353155,04/12/2022,176.0,60.0,,23400.0,2024,330000,436,438,Aout,88,Summer
2023,Mohcin OUTALHA,M,26,02:34:29,9269.0,7609,0.22,16.312439313841839,02/04/2023,MAR,157,Paris,115,1230,0.0,37,02:06:49,7609.0,19.871205151793927,20/01/2023,,,,,2024,330000,436,438,Aout,88,Summer
2023,Tariku NOVALES,M,26,02:07:18,7593.0,8527,-0.075000000000000011,19.913777277115386,04/12/2022,ESP,16,Valencia,116,1230,0.0,20,02:05:48,7548.0,20.031796502384736,03/12/2023,178.0,59.0,,15300.0,2024,330000,436,438,Aout,88,Summer
2023,Nicolas NAVARRO,M,33,02:32:58,7991.5,8922,-0.017499999999999998,18.973762969959843,06/04/2014,FRA,35,Paris,124,1227,0.0,24,02:05:53,7553.0,20.018535681186286,03/12/2023,170.0,54.0,,25000.0,2024,330000,436,438,Aout,88,Summer
2023,Emile CAIRESS,M,27,02:08:07,7687.0,,,19.669572004683232,23/04/2023,GBR,6,London,126,1226,1.0,65,02:08:07,7687.0,19.669572004683232,23/04/2023,,,,9432.0,2024,330000,436,438,Aout,88,Summer
2023,Mehdi FRÈRE,M,28,02:14:25,7793.0,,-0.020000000000000004,19.411335416374538,01/12/2019,FRA,38,Valencia,132,1224,0.0,19,02:05:43,7543.0,20.045074903884398,03/12/2023,180.0,66.0,,19500.0,2024,330000,436,438,Aout,88,Summer
2023,Hector GARIBAY FLORES,M,36,02:09:08,7706.0,7918,-0.02,19.621657363527312,20/02/2022,BOL,15,Sevilla,133,1224,0.0,56,02:07:44,7664.0,19.7286012526096,19/02/2023,160.0,50.0,,5900.0,2024,330000,436,438,Aout,88,Summer
2022,Jie HE,M,26,02:11:18,7878.0,7980,-0.01,19.192688499619191,25/09/2022,CHN,16,Berlin,139,1221,0.0,48,02:07:30,7650.0,19.764705882352942,19/03/2023,,,,,2024,330000,436,438,Aout,88,Summer
2023,Khalid CHOUKOUD,M,38,02:07:37,7657.0,7716,-0.01,19.746637064124332,03/12/2023,NED,23,Valencia,141,1220,0.0,52,02:07:37,7657.0,19.746637064124332,03/12/2023,176.0,62.0,,36200.0,2024,330000,436,438,Aout,88,Summer
2022,Sondre Nordstad MOEN,M,33,02:06:16,7721.666666666667,7548,-0.01,19.585392185898108,01/12/2019,NOR,7,Valencia,147,1217,1.0,47,02:07:16,7636.0,19.800942902042955,03/12/2023,178.0,62.0,,27100.0,2024,330000,436,438,Aout,88,Summer
2023,Isaac MPOFU,M,36,02:06:48,7633.5,7676,-0.019999999999999997,19.807648822873073,04/12/2022,ZIM,12,Valencia,149,1217,0.0,36,02:06:48,7608.0,19.873817034700316,04/12/2022,,,,,2024,330000,436,438,Aout,88,Summer
2024,Okubay TSEGAY,M,38,02:09:56,7815.666666666667,7961,0.0066666666666666662,19.368206832162322,16/09/2018,ERI,7,Berlin,150,1216,0.0,15,02:05:20,7520.0,20.106382978723403,24/09/2023,,,,,2024,330000,436,438,Aout,88,Summer
2024,Yemaneberhan CRIPPA,M,28,02:06:06,7566.0,7737,-0.02,19.984139571768438,18/02/2024,ITA,4,Sevilla,152,1215,0.0,28,02:06:06,7566.0,19.984139571768438,18/02/2024,174.0,53.0,,85000.0,2024,330000,436,438,Aout,88,Summer
2023,Girmaw AMARE,M,37,02:12:37,7694.4,8131,-0.028,19.656779401429404,02/12/2018,ISR,15,Valencia,155,1214,0.0,23,02:05:52,7552.0,20.021186440677965,03/12/2023,172.0,60.0,,1200.0,2024,330000,436,438,Aout,88,Summer
2023,Haimro ALAME,M,34,02:11:03,7692.4,8116,-0.05,19.658840263158016,01/12/2019,ISR,23,Valencia,167,1210,0.0,27,02:06:04,7564.0,19.989423585404548,03/12/2023,175.0,55.0,,1375.0,2024,330000,436,438,Aout,88,Summer
2024,Eyob GHEBREHIWET FANIEL,M,32,02:07:19,7647.0,8037,-0.026666666666666672,19.772579545701539,23/02/2020,ITA,7,Sevilla,173,1209,0.0,43,02:07:09,7629.0,19.819111285882816,18/02/2024,174.0,53.0,,9076.0,2024,330000,436,438,Aout,88,Summer
